# t  tau  phi  dphi  a  H  zppz  N
0 0 15 -0.00471405 1 0.106118 0.0225889 0
0.1 0.0994713 14.9995 -0.00471397 1.01067 0.106115 0.023072 0.0106117
0.2 0.197893 14.9991 -0.0047139 1.02145 0.106112 0.0235654 0.021223
0.3 0.295275 14.9986 -0.00471383 1.03235 0.106108 0.0240693 0.031834
0.4 0.39163 14.9981 -0.00471377 1.04336 0.106105 0.024584 0.0424447
0.5 0.486967 14.9976 -0.0047137 1.05449 0.106102 0.0251097 0.053055
0.6 0.581299 14.9972 -0.00471364 1.06574 0.106098 0.0256466 0.063665
0.7 0.674635 14.9967 -0.00471358 1.0771 0.106095 0.026195 0.0742747
0.8 0.766986 14.9962 -0.00471352 1.08859 0.106092 0.0267551 0.084884
0.9 0.858362 14.9958 -0.00471347 1.1002 0.106088 0.0273272 0.095493
1 0.948774 14.9953 -0.00471341 1.11193 0.106085 0.0279114 0.106102
1.1 1.03823 14.9948 -0.00471336 1.12379 0.106082 0.0285081 0.11671
1.2 1.12675 14.9943 -0.00471331 1.13578 0.106078 0.0291176 0.127318
1.3 1.21433 14.9939 -0.00471326 1.14789 0.106075 0.0297401 0.137926
1.4 1.30098 14.9934 -0.00471321 1.16013 0.106072 0.0303758 0.148533
1.5 1.38672 14.9929 -0.00471316 1.1725 0.106068 0.0310252 0.15914
1.6 1.47156 14.9925 -0.00471312 1.185 0.106065 0.0316884 0.169747
1.7 1.5555 14.992 -0.00471307 1.19764 0.106062 0.0323657 0.180353
1.8 1.63856 14.9915 -0.00471303 1.21041 0.106058 0.0330575 0.190959
1.9 1.72074 14.991 -0.00471299 1.22332 0.106055 0.0337641 0.201565
2 1.80205 14.9906 -0.00471295 1.23636 0.106052 0.0344858 0.21217
2.1 1.88251 14.9901 -0.00471291 1.24954 0.106048 0.0352228 0.222775
2.2 1.96211 14.9896 -0.00471287 1.26286 0.106045 0.0359756 0.23338
2.3 2.04088 14.9892 -0.00471284 1.27632 0.106042 0.0367444 0.243984
2.4 2.11882 14.9887 -0.0047128 1.28993 0.106038 0.0375297 0.254588
2.5 2.19593 14.9882 -0.00471277 1.30368 0.106035 0.0383317 0.265192
2.6 2.27223 14.9877 -0.00471274 1.31758 0.106032 0.0391508 0.275795
2.7 2.34773 14.9873 -0.0047127 1.33162 0.106028 0.0399874 0.286398
2.8 2.42243 14.9868 -0.00471267 1.34582 0.106025 0.0408418 0.297001
2.9 2.49634 14.9863 -0.00471264 1.36016 0.106022 0.0417145 0.307603
3 2.56947 14.9859 -0.00471261 1.37466 0.106018 0.0426058 0.318205
3.1 2.64183 14.9854 -0.00471259 1.38931 0.106015 0.0435161 0.328807
3.2 2.71343 14.9849 -0.00471256 1.40412 0.106012 0.0444458 0.339408
3.3 2.78427 14.9844 -0.00471253 1.41908 0.106008 0.0453954 0.350009
3.4 2.85437 14.984 -0.00471251 1.4342 0.106005 0.0463652 0.36061
3.5 2.92373 14.9835 -0.00471248 1.44949 0.106002 0.0473557 0.37121
3.6 2.99235 14.983 -0.00471246 1.46493 0.105998 0.0483673 0.38181
3.7 3.06025 14.9826 -0.00471243 1.48054 0.105995 0.0494005 0.39241
3.8 3.12744 14.9821 -0.00471241 1.49632 0.105992 0.0504558 0.403009
3.9 3.19392 14.9816 -0.00471239 1.51226 0.105988 0.0515335 0.413608
4 3.25969 14.9811 -0.00471237 1.52838 0.105985 0.0526343 0.424207
4.1 3.32478 14.9807 -0.00471235 1.54466 0.105982 0.0537585 0.434805
4.2 3.38917 14.9802 -0.00471233 1.56112 0.105978 0.0549067 0.445403
4.3 3.45289 14.9797 -0.00471231 1.57775 0.105975 0.0560793 0.456001
4.4 3.51594 14.9793 -0.00471229 1.59456 0.105972 0.057277 0.466598
4.5 3.57832 14.9788 -0.00471227 1.61155 0.105968 0.0585002 0.477195
4.6 3.64005 14.9783 -0.00471226 1.62872 0.105965 0.0597495 0.487792
4.7 3.70112 14.9778 -0.00471224 1.64607 0.105962 0.0610255 0.498388
4.8 3.76155 14.9774 -0.00471222 1.6636 0.105958 0.0623286 0.508984
4.9 3.82134 14.9769 -0.00471221 1.68132 0.105955 0.0636595 0.51958
5 3.88051 14.9764 -0.00471219 1.69923 0.105952 0.0650189 0.530175
5.1 3.93905 14.976 -0.00471218 1.71733 0.105948 0.0664071 0.54077
5.2 3.99697 14.9755 -0.00471216 1.73562 0.105945 0.067825 0.551365
5.3 4.05428 14.975 -0.00471215 1.75411 0.105942 0.0692731 0.561959
5.4 4.11099 14.9746 -0.00471213 1.77279 0.105938 0.0707521 0.572553
5.5 4.1671 14.9741 -0.00471212 1.79167 0.105935 0.0722626 0.583147
5.6 4.22262 14.9736 -0.00471211 1.81075 0.105932 0.0738054 0.59374
5.7 4.27755 14.9731 -0.0047121 1.83003 0.105928 0.075381 0.604333
5.8 4.33191 14.9727 -0.00471208 1.84952 0.105925 0.0769901 0.614926
5.9 4.38569 14.9722 -0.00471207 1.86921 0.105922 0.0786336 0.625519
6 4.43891 14.9717 -0.00471206 1.88912 0.105918 0.0803121 0.636111
6.1 4.49156 14.9713 -0.00471205 1.90923 0.105915 0.0820264 0.646702
6.2 4.54366 14.9708 -0.00471204 1.92956 0.105912 0.0837772 0.657294
