# k   P_s(k)   n_s(k)
1.21593e+34 0.038836 0
1.53983e+34 0.0386329 0.97716
1.95001e+34 0.0384193 0.97755
2.46945e+34 0.0382255 0.977141
3.12727e+34 0.0380067 0.977306
3.96031e+34 0.0378179 0.977277
5.01526e+34 0.0376009 0.976691
6.35122e+34 0.0374038 0.977033
8.04306e+34 0.0371953 0.976461
1.01856e+35 0.0369903 0.976936
1.28988e+35 0.0367923 0.977407
1.63348e+35 0.0365977 0.97631
2.06861e+35 0.0363829 0.976005
2.61964e+35 0.0361852 0.976718
3.31746e+35 0.035985 0.976465
4.20117e+35 0.0357852 0.976374
5.32028e+35 0.0355857 0.976228
6.73749e+35 0.0353857 0.976358
8.53223e+35 0.0351905 0.976375
1.0805e+36 0.034993 0.976103
1.36833e+36 0.0347955 0.976111
1.73282e+36 0.0346004 0.97649
2.19441e+36 0.0344113 0.976007
2.77896e+36 0.0342105 0.975421
3.51922e+36 0.0340141 0.976099
4.45668e+36 0.0338264 0.975783
5.64385e+36 0.0336272 0.975504
7.14725e+36 0.0334373 0.975544
9.05114e+36 0.033241 0.975331
1.14622e+37 0.03305 0.975538
1.45155e+37 0.0328592 0.975701
1.83821e+37 0.0326728 0.975231
2.32788e+37 0.032477 1.00531
2.94798e+37 0.0327549 0.97552
3.73326e+37 0.0321037 0.975644
4.72772e+37 0.0323803 1.00539
5.9871e+37 0.0321855 0.974478
7.58194e+37 0.0319923 0.974809
9.60162e+37 0.0318048 0.974901
1.21593e+38 0.0316152 0
